rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_range,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/policy_gradient_loss
195.09512329101562,85,1024,183.8,1,11,,,,,,,,,,,
175.48101806640625,48,2048,165.66666666666666,2,42,0.0046977066,-2.8351536437869074,0.0003,0.002791762351989746,0.998112678527832,0.2,0.8791548609733582,10,0.03427734375,1.3979946249630302,-0.002352619922021404
231.4118194580078,39,3072,180.47058823529412,3,78,0.0044515333,-2.835196663439274,0.0003,0.0016055703163146973,0.99894118309021,0.2,-0.026932477951049805,20,0.07119140625,0.027312886857544072,-0.008707208646228537
269.6852111816406,36,4096,188.57142857142858,4,112,0.010074328,-2.842989535629749,0.0003,0.2558785676956177,1.005279541015625,0.2,-0.02017955482006073,30,0.10419921875,0.04688969322305638,-0.008657498029060661
289.4049072265625,33,5120,198.0,5,150,0.013946796,-2.848635432124138,0.0003,0.08773428201675415,1.0046312808990479,0.2,-0.01212407648563385,40,0.11630859375,0.02641812360379845,-0.010177788411965594
262.96099853515625,36,6144,214.96428571428572,6,168,0.016261881,-2.8513601273298264,0.0003,0.18128257989883423,1.0083634853363037,0.2,-0.059719983488321304,50,0.1375,0.03291628150327597,-0.02209495009155944
265.697265625,38,7168,227.29032258064515,7,187,0.014598571,-2.853748454153538,0.0003,0.4597848653793335,1.0075674057006836,0.2,-0.062094125896692276,60,0.13515625,0.03400288872071542,-0.020648866408737376
300.7939453125,39,8192,230.4857142857143,8,205,0.02341661,-2.8578632563352584,0.0003,0.7993743419647217,1.0114619731903076,0.2,-0.046822912991046906,70,0.196875,0.018079499792656863,-0.02469074010732584
301.83294677734375,41,9216,241.42105263157896,9,223,0.026556253,-2.8605637520551683,0.0003,0.8344234824180603,1.0086708068847656,0.2,-0.05626663938164711,80,0.25498046875,0.012025214945606422,-0.031970068521331996
336.5801696777344,42,10240,240.52380952380952,10,241,0.031711705,-2.8627034306526182,0.0003,0.7287685871124268,1.0150389671325684,0.2,-0.07357794046401978,90,0.23037109375,0.030391270777909086,-0.0355217142845504
365.30047607421875,43,11264,241.69565217391303,11,258,0.023698967,-2.8683188781142235,0.0003,0.05942577123641968,1.015711784362793,0.2,-0.07381895184516907,100,0.23837890625,0.007918158480606508,-0.02991951853618957
383.2901916503906,44,12288,246.20408163265307,12,276,0.029710747,-2.855489681661129,0.0003,0.3048139214515686,1.0015233755111694,0.2,-0.07176551222801208,110,0.22978515625,0.005656788197666174,-0.032085334288422016
391.5599365234375,45,13312,243.33333333333334,13,294,0.042716183,-2.8425308018922806,0.0003,0.5888326168060303,1.0024421215057373,0.2,-0.0985744372010231,120,0.3162109375,0.003951519897236721,-0.03192744065599982
409.91632080078125,45,14336,243.3448275862069,14,311,0.047218494,-2.844796910881996,0.0003,0.22319817543029785,0.997714638710022,0.2,-0.08707872033119202,130,0.29384765625,0.01271958057768643,-0.037404080724809316
398.7195129394531,46,15360,250.39344262295083,15,329,0.054254577,-2.8307871162891387,0.0003,0.2561078667640686,0.9935015439987183,0.2,-0.12078588455915451,140,0.34091796875,0.005276275264623109,-0.051567645493196326
415.2914733886719,47,16384,249.53846153846155,16,347,0.058260985,-2.825010930001736,0.0003,0.7443878650665283,0.9917991161346436,0.2,-0.11089842021465302,150,0.3314453125,0.01951040562998969,-0.060251898277783766
421.36151123046875,47,17408,243.88732394366198,17,365,0.07470448,-2.822821210324764,0.0003,0.18187594413757324,0.9904712438583374,0.2,-0.13106422126293182,160,0.41005859375,0.007327318160969298,-0.05740715763531625
430.0896301269531,48,18432,240.39473684210526,18,382,0.072189435,-2.814520996809006,0.0003,0.3732796311378479,0.9807395935058594,0.2,-0.08109024167060852,170,0.34150390625,0.024369569082045926,-0.047577167552663016
441.9703063964844,48,19456,240.0125,19,401,0.068298236,-2.7916617661714556,0.0003,0.4112202525138855,0.9727357625961304,0.2,-0.09583111852407455,180,0.3849609375,0.019904645621136297,-0.049689444078831004
442.03125,48,20480,241.0120481927711,20,419,0.07108177,-2.783920143544674,0.0003,0.5512403249740601,0.9707666039466858,0.2,-0.10455106198787689,190,0.39521484375,0.010895140042703134,-0.04662403424008517
427.71044921875,49,21504,246.64367816091954,21,436,0.06532414,-2.7777542144060137,0.0003,0.8450264930725098,0.9672976732254028,0.2,-0.13054430484771729,200,0.3638671875,0.02158404019573936,-0.057111165259266274
434.487060546875,49,22528,243.72826086956522,22,454,0.04449509,-2.7691575646400453,0.0003,0.8666588068008423,0.9631697535514832,0.2,-0.10189540684223175,210,0.292578125,0.022580569743877277,-0.055492634727852416
431.09765625,49,23552,244.07291666666666,23,472,0.08600191,-2.7638130694627763,0.0003,0.4425770044326782,0.9586314558982849,0.2,-0.10168741643428802,220,0.4220703125,0.015951658292033245,-0.045928566437214616
436.3786315917969,50,24576,241.32,24,490,0.12886591,-2.7496570840477945,0.0003,0.6395729780197144,0.9477193355560303,0.2,-0.11142297834157944,230,0.4248046875,0.02765152059146203,-0.06387446063454263
455.1144104003906,50,25600,244.2,25,508,0.1151354,-2.7191853031516073,0.0003,0.26305389404296875,0.9329266548156738,0.2,-0.11964865773916245,240,0.4271484375,0.027079425333067775,-0.058240960107650605
458.4838562011719,50,26624,246.14,26,527,0.12854536,-2.6884905397892,0.0003,0.451229453086853,0.9179158210754395,0.2,-0.0938832238316536,250,0.44423828125,0.01867657564143883,-0.062168797478079796
450.6048889160156,49,27648,249.8,27,556,0.137342,-2.6637379467487334,0.0003,0.8242930173873901,0.9083199501037598,0.2,-0.11323371529579163,260,0.45224609375,0.028247264595120215,-0.07008395444718189
